area,lat,lon
"Sitabuldi, Nagpur",21.14844,79.0840464
"Dharampeth, Nagpur",21.1409684,79.0624344
"Sadar, Nagpur",21.1817155,79.0789652
"Civil Lines, Nagpur",21.1549282,79.078932
"Ramdaspeth, Nagpur",21.1365853,79.0749872
"Manish Nagar, Nagpur",21.0934921,79.0675143
"Wardha Road, Nagpur",21.1036478,79.0682984
"Hingna, Nagpur",20.9916033,78.8732421
"Kamptee, Nagpur",21.2170645,79.1964178
"Trimurti Nagar, Nagpur",21.1131642,79.042658
"Pratap Nagar, Nagpur",21.1137148,79.0567838
"Nandanvan, Nagpur",21.1375622,79.1226825
