name,lat,lon,type,cuisine
Ghate Restaurant (Ext),21.1469003,79.1037375,restaurant,regional
Ghate Restaurant,21.1448,79.1062794,restaurant,regional
Ganesha Restaurant,21.1113998,79.1040801,restaurant,
Venu Corner Restaurant,21.1105716,79.1035168,restaurant,
Shrinath Farsan,21.1174912,79.0343152,restaurant,indian
Dalchini,21.1239021,79.0643776,restaurant,
Cafe Coffee Day,21.1465677,79.0612847,cafe,coffee_shop
Ajit Bakery,21.1180656,79.0724804,restaurant,
Aryan Caterers,21.1542201,79.0713415,restaurant,
Ashoka,21.1592764,79.0798458,restaurant,international
Babbu Biryani,21.1687563,79.0778504,restaurant,indian
Shri Kulaswamini Restaurant,21.1227394,79.1115268,restaurant,chinese;indian;kebab
Sangam Sweets,21.131321,79.098761,restaurant,
Shankar Ashram Canteen,21.1309314,79.0965489,restaurant,
Saffron Sweets and Restaurant,21.1104557,79.1035169,restaurant,
T-Point Restaurant,21.1235328,79.1114772,restaurant,
New Ashish Saoji Restaurant,21.1233045,79.1128843,restaurant,chicken;indian
Green Chilly Restaurant,21.1197285,79.1136433,restaurant,
Unnamed,21.1188408,79.1251392,restaurant,chicken;kebab;curry
Hotel Al Zam Zam,21.149313,79.1138638,restaurant,
Unnamed,21.1395815,79.0951945,restaurant,
Unnamed,21.1418072,79.0860436,restaurant,
Unnamed,21.1393759,79.0656678,restaurant,
Unnamed,21.1360854,79.0609246,restaurant,
Unnamed,21.1386604,79.0801935,restaurant,
Unnamed,21.1385473,79.0803477,restaurant,
Cafe Coffee Day,21.1317724,79.0523131,cafe,coffee_shop
Unnamed,21.1469889,79.1195551,restaurant,
Unnamed,21.1219384,79.1047616,restaurant,
Unnamed,21.1029975,79.1458084,restaurant,
Cafe Coffee Day,21.1127812,79.0521684,cafe,coffee_shop
Unnamed,21.1421762,79.0610844,restaurant,indian
Mughals,21.168266,79.0792055,restaurant,indian
Oojam,21.1055686,79.0968257,restaurant,
The Belgian Waffle Co.,21.1220669,79.0570517,cafe,
Bouffage Cafe And Bistro,21.134524,79.0583139,cafe,cafe
Heritage Plaza Biryani Restaurant,21.1231288,79.1096013,restaurant,
Unnamed,21.1708986,79.0794977,cafe,
Panino,21.1717464,79.0793987,restaurant,sandwich
Domino's,21.171143,79.079439,restaurant,pizza
Jodhpur Mishthann Bhandar,21.1497358,79.1122229,restaurant,
Planet Food,21.1322803,79.0981789,restaurant,
New Maa Durga Farsan and Restaurant,21.1235407,79.1117008,restaurant,
Taj Biryani & Barbeque,21.1174263,79.1112659,restaurant,
Shri Sai Saoji Family Bhojnalaya,21.1057624,79.1125901,restaurant,
Ten 11 Restaurant,21.1309437,79.1181627,restaurant,
Fiona Restaurant,21.1378852,79.0603663,restaurant,
Cafe Coffee Day,21.1431139,79.0803841,cafe,coffee_shop
Barbeque Nation,21.1432915,79.0800676,restaurant,
Pizza Hut,21.1432189,79.0803009,restaurant,pizza
Savi's Kitchen,21.1122838,79.1155212,restaurant,indian;chinese;chicken;kebab;asian;seafood
CAFE-HOLICS,21.1406146,79.0643249,restaurant,pizza;burger;coffee_shop;italian;chinese;sandwich;indian;chicken
The Heritage Restaurant,21.1054189,79.1002921,restaurant,
Cluckers,21.122289,79.056697,restaurant,
Gayatri Bhojanalaya,21.1154639,79.056631,restaurant,
Cafe Illusions,21.1138082,79.0560963,cafe,
Icing on the cake,21.1127232,79.0519363,cafe,
By the Way,21.052029,79.1027881,cafe,
Infusion - Coffee & You,21.1220038,79.0569892,cafe,pizza;coffee_shop;sandwich;indian;ice_cream
Froozo Cafe,21.1305321,79.1191474,cafe,pizza;waffle;coffee;ice_cream;sandwich
Guptaji Namkeen,21.1451161,79.0876907,restaurant,indian
Sam's Cafe,21.1630542,79.0514884,cafe,pizza;burger;sandwich
TwinkLink - The Coffee Hub,21.1172803,79.0418154,cafe,coffee_shop
HUNGRY PUTTAR RESTAURANT,21.1273588,79.0580818,restaurant,indian;chicken;dessert
Amrut Chai,21.1780435,79.0459672,cafe,coffee_shop;tea_shop;tea;coffee
Shrisant Kirpa Family Restaurant,21.1775021,79.0456945,restaurant,indian;chinese;south_indian
All About Coffee,21.1764916,79.0447769,cafe,coffee_shop;tea;smoothie
Abhi Restaurant,21.1790126,79.0441613,restaurant,chinese
Hotel Indian Tandoori,21.1802639,79.0413725,restaurant,indian
Tandoori Villa,21.180842,79.0400674,restaurant,
Unnamed,21.1776896,79.0469856,restaurant,grill;meat
Shashi's Barbeque Kitchen,21.1775524,79.0471248,restaurant,barbecue
Capsule Cafe,21.0982175,79.0671092,cafe,pizza;burger;coffee_shop;sandwich;dessert;continental
Unnamed,21.1959642,79.1339156,restaurant,
Unnamed,21.0970996,78.9796558,restaurant,
Unnamed,21.097128,78.9797562,cafe,
Canteen 1,21.1241627,79.0024549,restaurant,
Sandwich Cafe,21.1253252,79.0035937,restaurant,
Siddhi Cafe,21.1240303,79.0033923,restaurant,
NesCafe,21.1246503,79.0020355,cafe,
Chaap Centre,21.125034,79.0030494,restaurant,
Sapling's Cafe,21.1073413,79.0477212,cafe,
Amrutatulya Chaha,21.1030876,79.0660605,cafe,
Meethas cafe,21.1025763,79.0670052,cafe,
Sugar,21.1026577,79.0673768,cafe,
mullaji zillha biriyani,21.180525,79.1213363,restaurant,chicken
Amaira Atharvam,21.1513513,79.0636399,restaurant,
Uttar Dakshin,21.1137219,79.0555233,restaurant,indian
